"topicId","real_name","trans_name","lang"
"4970","What does it mean to be an American?  News Article Responses Needed","What does it mean to be an American?  News Article Responses Needed","en"
"3640","耶鲁大学学历文凭制作Q/微信86614733""办理美国Yale毕业证成绩单/耶鲁大学学历学位认证Yale University","""Yale University diploma production Q/wechat 86614733\""check in USA Yale diploma transcripts/Yale University academic degree certification Yale University""","no"
"4971","Cryonics: Invest in the idea of being able to be around when space colonisation & America becomes reality.","Cryonics: Invest in the idea of being able to be around when space colonisation & America becomes reality.","en"
"2306","is america a fraud?","""is america a fraud?""","ca"
"3639","美国办理!!AAU毕业证书文凭Q_微信729926040_密苏里大学哥伦比亚分校毕业证成绩单*购买美国大学文凭学位证书全套制作*真实学历认证*回（归）国人员证明*制造美国假文凭假毕业证原版1:1","""United States check-in!! AAU diploma diploma Q_ wechat 729926040_ University of Missouri-Columbia campus diploma transcripts*buy American University diploma degree certificate full set of make*real education certification*returnпј€returnпј‰personnel proof*manufactured in the United States fake diplomas fake diploma original version 1:1""","zh-cn"
"2305","Nuclear weapons and America","Nuclear weapons and America","en"
"2304","A proposal for punishment/rehabilitation from first principles.","A proposal for punishment/rehabilitation from first principles.","en"
"2303","Optimal Education","Optimal Education","en"
"2302","Hello from China","Hello from China","en"
"4961","[POLL] users or citizens?","[POLL] users or citizens?","en"
"3630","不列颠哥伦比亚理工学院毕业证成绩单Q/微86614733办理加拿大BCIT毕业证成绩单#教育部文凭认证，学历学位认证British Columbia Institute of Technology","British Columbia Polytechnic Institute diploma transcript Q / micro86614733办理加拿大BCIT毕业证成绩单#教育部文凭认证，学历学位认证British Columbia Institute of Technology","en"
"4962","Official American English Dictionary","Official American English Dictionary","en"
"3631","北英属哥伦比亚大学毕业证成绩单Q/微86614733办理加拿大UNBC毕业证成绩单#教育部文凭认证，学历学位认证University of Northern British Columbia","北英属哥伦比亚大学毕业证成绩单Q/微86614733办理加拿大UNBC毕业证成绩单#教育部文凭认证，学历学位认证University of Northern British Columbia","en"
"4963","Isolation and confinement in space.","Isolation and confinement in space.","en"
"3632","纽芬兰纪念大学毕业证成绩单Q/微86614733办理加拿大MUN毕业证成绩单#教育部文凭认证，学历学位认证Memorial University of Newfoundland","""Memorial University of Newfoundland diploma transcript of the Q/micro 86614733 check in Canada MUN graduate certificate transcript#Ministry of Education diploma, certification, degree certification Memorial University of Newfoundland""","en"
"3633","兰加拉学院毕业证成绩单Q/微86614733办理加拿大Langara毕业证成绩单#教育部文凭认证，学历学位认证Langara College","""Langa La College diploma transcript of the Q/micro 86614733 check in Canada Langara diploma transcript#Ministry of Education diploma, certification, degree certification Langara College""","no"
"4964","America NGO to Hold Community Gathering in Montreal","America NGO to Hold Community Gathering in Montreal","en"
"4965","The America News Network is now Active","The America News Network is now Active","en"
"3635","百年理工学院毕业证成绩单Q/微86614733办理加拿大SAIT毕业证成绩单#教育部文凭认证，学历学位认证Centennial College","""Centennial College diploma transcript of the Q/micro 86614733 check in Canada SAIT diploma transcript#Ministry of Education diploma, certification, degree certification Centennial College""","no"
"4967","American Pretty Good Privacy (PGP) Key Server?","American Pretty Good Privacy (PGP) Key Server?","en"
"3636","高贵林学院毕业证成绩单Q/微86614733办理加拿大CC毕业证成绩单#教育部文凭认证，学历学位认证CoQuitlam College","""Coquitlam College diploma transcript of the Q/micro 86614733 check in Canada CC graduation certificate transcript#Ministry of Education diploma, certification, degree certification CoQuitlam College""","no"
"3637","怀雅逊大学毕业证成绩单Q/微86614733办理加拿大怀雅逊大学毕业证成绩单#教育部文凭认证，学历学位认证 Ryerson University","""Huai ya-Xun University diploma transcript of the Q/micro 86614733 check in Canada pregnant with ya Johnson University graduation certificate transcript#Ministry of Education diploma, certification, degree certification Ryerson University""","zh-cn"
"4982","法国使馆认证+留信认证（真实可查）Q微信207586481办理马赛大学毕业证成绩单 真实教育部学历认证 Aix-Marseille Université  （永久存档可查）","""The French Embassy certification+left letter certified real search Q wechat 207586481 check-Marseille University diploma transcript true the Ministry of education degree certification Aix-Marseille UniversitГ© пј€permanent archive availableпј‰""","zh-cn"
"2320","CONSTITUTION","""CONSTITUTION""","cy"
"2317","citizenship of Austria","citizenship of Austria","en"
"2316","citizenship","citizenship","en"
"2315","Hello Friend","""Hello Friend""","nl"
"2314","What would you prefer the gaming society used?","What would you prefer the gaming society used?","en"
"2312","Submission : Expert panel supported direct democracy","""Submission : Expert panel supported direct democracy""","en"
"2310","All posts in the forum are indexed by Google --- yikes!","All posts in the forum are indexed by Google --- yikes!","en"
"4972","The Earth is flat!!","The Earth is flat!!","en"
"4973","Today İs World Day,","Today İs World Day,","en"
"4974","GLEX 2017 - What is it?","GLEX 2017 - What is it?","en"
"4975","Energy?","""Energy?""","cy"
"4976","Cassini starting an amazing last journey!","Cassini starting an amazing last journey!","en"
"4977","C.A. Activity Report - 23 April 2017","C.A. Activity Report - 23 April 2017","en"
"2319","a Program to save ours Ideas!","a Program to save ours Ideas!","en"
"4978","America AI text interface","America AI text interface","en"
"2318","Greeting","""Greeting""","af"
"4979","black and white = gray","black and white = gray","en"
"4990","The concept of equality","The concept of equality","en"
"3660","8 MARCH WORLD WOMEN'S DAY","""8 MARCH WORLD WOMEN'S DAY""","lb"
"4991","办理澳洲UOW成绩单毕业证文凭Q微969744238【毕业证】办理卧龙岗大学毕业证成绩单学历认证University of Wollongong","办理澳洲UOW成绩单毕业证文凭Q微969744238【毕业证】办理卧龙岗大学毕业证成绩单学历认证University of Wollongong","en"
"3662","Space travelling program should be organized by america government in future to encourage americans.","Space travelling program should be organized by america government in future to encourage americans.","en"
"1000","Greetings from Argentina!","Greetings from Argentina!","en"
"2331","BUY Original,Toefl,Ielts,Toeic,Passport,Id Cards,Visa,Driving License","BUY Original,Toefl,Ielts,Toeic,Passport,Id Cards,Visa,Driving License","en"
"2330","""Idioma americano"". ¿Traducciones de sentido? ¿nuevos sentidos? ¿Un nuevo ""esperanto""? /""American language"". Meaningful translations? New senses A new ""esperanto""?","""Language \""american\"". Does translation make sense? what about new senses? Do a new \""esperanto\""? /\""American language\"". Meaningful translations? New senses A new \""esperanto\""?""","es"
"2328","Political Structure","""Political Structure""","ro"
